,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,module_presentation_length,days_studied,activities_engaged,total_clicks,assessments_completed,average_assessment_score
0,AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,-159.0,268.0,268,40.0,196.0,934.0,0.8333333333333334,82.0
1,AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,-53.0,268.0,268,80.0,430.0,1435.0,0.8333333333333334,66.4
2,AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-92.0,12.0,268,12.0,76.0,281.0,0.0,0.0
3,AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-52.0,268.0,268,123.0,663.0,2158.0,0.8333333333333334,76.0
4,AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-176.0,268.0,268,70.0,352.0,1034.0,0.8333333333333334,54.4
5,AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-110.0,268.0,268,143.0,723.0,2445.0,0.8333333333333334,68.0
6,AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,-67.0,268.0,268,90.0,355.0,1492.0,0.8333333333333334,68.0
7,AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-29.0,268.0,268,105.0,531.0,1428.0,0.8333333333333334,72.4
8,AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,-33.0,268.0,268,122.0,593.0,1894.0,0.8333333333333334,71.4
9,AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-103.0,268.0,268,90.0,403.0,1319.0,0.8333333333333334,74.0
10,AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-47.0,268.0,268,120.0,526.0,1732.0,0.8333333333333334,73.2
11,AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-59.0,268.0,268,61.0,345.0,1102.0,0.8333333333333334,78.6
12,AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-68.0,268.0,268,148.0,981.0,3388.0,0.8333333333333334,76.0
13,AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-67.0,268.0,268,175.0,760.0,2737.0,0.8333333333333334,71.6
14,AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-180.0,96.0,268,11.0,54.0,171.0,0.3333333333333333,67.0
